0.021592,-0.0013767,-0.00079011,-0.0079778,-0.0079778,-0.0079778,0.013252,0.013252,0.013252,-0.00051012,0.002993,0.002993,0.00096907,-0.073652,6.7955e-05,0.00035314,0
0.02302,-0.0010747,-0.00060626,-0.0066517,-0.0066517,-0.0066517,0.013939,0.013939,0.013939,-0.00032025,0.0047422,0.0047422,0.0011837,-0.067248,0.00017108,0.00036159,0
0.024488,-0.00077325,-0.00042375,-0.0053072,-0.0053072,-0.0053072,0.014625,0.014625,0.014625,-0.00013374,0.0065243,0.0065243,0.0013964,-0.060928,0.00027534,0.00037064,0
0.025997,-0.00047268,-0.00024279,-0.0039446,-0.0039446,-0.0039446,0.015309,0.015309,0.015309,4.9142e-05,0.0083383,0.0083383,0.0016068,-0.054696,0.00038067,0.00038031,0
0.027546,-0.00017327,-6.3573e-05,-0.0025637,-0.0025637,-0.0025637,0.015991,0.015991,0.015991,0.00022815,0.010183,0.010183,0.0018148,-0.048559,0.00048695,0.00039061,0
0.029132,0.00012472,0.0001137,-0.0011647,-0.0011647,-0.0011647,0.016671,0.016671,0.016671,0.00040304,0.012059,0.012059,0.0020201,-0.042525,0.0005941,0.00040155,0
0.030756,0.00042102,0.00028884,0.00025237,0.00025237,0.00025237,0.017348,0.017348,0.017348,0.00057357,0.013964,0.013964,0.0022224,-0.036598,0.00070202,0.00041314,0
0.032415,0.00071536,0.00046165,0.0016876,0.0016876,0.0016876,0.018022,0.018022,0.018022,0.0007395,0.015897,0.015897,0.0024214,-0.030784,0.0008106,0.0004254,0
0.034108,0.0010075,0.00063194,0.0031411,0.0031411,0.0031411,0.018692,0.018692,0.018692,0.00090062,0.017857,0.017857,0.0026171,-0.025088,0.00091976,0.00043833,0
0.035833,0.0012972,0.00079955,0.0046128,0.0046128,0.0046128,0.019358,0.019358,0.019358,0.0010567,0.019845,0.019845,0.002809,-0.019517,0.0010294,0.00045196,0
0.03759,0.0015842,0.00096428,0.0061028,0.0061028,0.0061028,0.02002,0.02002,0.02002,0.0012076,0.021857,0.021857,0.0029971,-0.014073,0.0011394,0.00046628,0
0.039375,0.0018682,0.001126,0.0076114,0.0076114,0.0076114,0.020677,0.020677,0.020677,0.0013531,0.023894,0.023894,0.0031812,-0.0087632,0.0012496,0.00048132,0
0.041189,0.0021492,0.0012845,0.0091385,0.0091385,0.0091385,0.021329,0.021329,0.021329,0.001493,0.025955,0.025955,0.003361,-0.0035899,0.00136,0.00049707,0
0.043028,0.0024267,0.0014396,0.010684,0.010684,0.010684,0.021976,0.021976,0.021976,0.0016271,0.028038,0.028038,0.0035363,0.0014426,0.0014704,0.00051356,0
0.044891,0.0027007,0.0015913,0.012249,0.012249,0.012249,0.022618,0.022618,0.022618,0.0017554,0.030142,0.030142,0.003707,0.0063308,0.0015808,0.00053079,0
0.046776,0.0029709,0.0017393,0.013833,0.013833,0.013833,0.023254,0.023254,0.023254,0.0018776,0.032266,0.032266,0.003873,0.011072,0.001691,0.00054877,0
0.048681,0.0032371,0.0018835,0.015437,0.015437,0.015437,0.023885,0.023885,0.023885,0.0019937,0.034409,0.034409,0.004034,0.015662,0.0018009,0.00056752,0
0.050604,0.0034992,0.0020238,0.017059,0.017059,0.017059,0.02451,0.02451,0.02451,0.0021036,0.036571,0.036571,0.00419,0.0201,0.0019105,0.00058703,0
